"year","month","time","ts","vei","latitude","longitude","deaths"
1813,5,"1813-5-15 00:00:00",1813.38,2,40.821,14.426,NA
1814,2,"1814-2-15 00:00:00",1814.12,4,13.257,123.685,1200
1815,4,"1815-4-15 00:00:00",1815.29,7,-8.25,118,11000
1816,7,"1816-7-15 00:00:00",1816.54,2,32.88,131.1,1
1817,1,"1817-1-15 00:00:00",1817.04,2,-8.058,114.242,NA
1817,NA,"1817-07-01 00:00:00",1817.5,4,-8.125,114.042,NA
1818,2,"1818-2-15 00:00:00",1818.12,4,19.514,-103.62,NA
1820,3,"1820-3-15 00:00:00",1820.21,2,54.52,-164.65,NA
1820,6,"1820-6-15 00:00:00",1820.46,2,-4.525,129.871,NA
1822,3,"1822-3-15 00:00:00",1822.21,4,42.53,140.83,50
1822,10,"1822-10-15 00:00:00",1822.79,5,-7.25,108.05,4011
1822,12,"1822-12-15 00:00:00",1822.96,3,-7.542,110.442,100
1824,NA,"1824-07-01 00:00:00",1824.5,3,54.75,-163.97,NA
1826,10,"1826-10-15 00:00:00",1826.79,3,-7.93,112.308,NA
1826,10,"1826-10-15 00:00:00",1826.79,2,-7.2,109.92,NA
1826,10,"1826-10-15 00:00:00",1826.79,2,32.88,131.1,NA
1827,6,"1827-6-15 00:00:00",1827.46,2,53.255,158.83,NA
1827,8,"1827-8-15 00:00:00",1827.62,2,53.255,158.83,NA
1829,NA,"1829-07-01 00:00:00",1829.5,2,-7.13,107.83,NA
1832,11,"1832-11-15 00:00:00",1832.88,2,37.734,15.004,NA
1832,12,"1832-12-15 00:00:00",1832.96,3,-7.542,110.442,32
1833,11,"1833-11-15 00:00:00",1833.88,2,-3.52,102.62,126
1835,1,"1835-1-15 00:00:00",1835.04,5,12.98,-87.57,NA
1838,2,"1838-2-15 00:00:00",1838.12,2,0.8,127.325,4
1839,2,"1839-2-15 00:00:00",1839.12,2,-33.62,-76.83,NA
1840,2,"1840-2-15 00:00:00",1840.12,2,0.8,127.325,NA
1840,NA,"1840-07-01 00:00:00",1840.5,3,-9.13,159.82,NA
1840,NA,"1840-07-01 00:00:00",1840.5,3,-10.38,165.8,NA
1840,7,"1840-7-15 00:00:00",1840.54,3,39.7,44.28,1900
1841,4,"1841-4-15 00:00:00",1841.29,2,30.43,130.22,NA
1843,8,"1843-8-15 00:00:00",1843.62,2,-8,113.342,4
1843,11,"1843-11-15 00:00:00",1843.88,2,37.734,15.004,56
1845,2,"1845-2-15 00:00:00",1845.12,2,1.108,124.725,NA
1845,2,"1845-2-15 00:00:00",1845.12,3,4.895,-75.322,1000
1845,9,"1845-9-15 00:00:00",1845.71,4,63.98,-19.7,NA
1846,5,"1846-5-15 00:00:00",1846.38,2,-6.77,107.6,NA
1847,4,"1847-4-15 00:00:00",1847.29,2,14.95,-24.35,NA
1847,12,"1847-12-15 00:00:00",1847.96,2,-7.2,109.92,NA
1848,5,"1848-5-15 00:00:00",1848.38,2,-7.93,112.308,21
1850,NA,"1850-07-01 00:00:00",1850.5,2,-4.271,152.203,NA
1853,7,"1853-7-15 00:00:00",1853.54,3,13.257,123.685,34
1853,10,"1853-10-15 00:00:00",1853.79,2,24,121.83,NA
1854,2,"1854-2-15 00:00:00",1854.12,5,56.653,161.36,NA
1854,2,"1854-2-15 00:00:00",1854.12,2,32.88,131.1,3
1854,6,"1854-6-15 00:00:00",1854.46,3,50.858,155.55,NA
1856,3,"1856-3-15 00:00:00",1856.21,3,3.67,125.5,2806
1856,9,"1856-9-15 00:00:00",1856.71,4,42.07,140.68,20
1858,1,"1858-1-15 00:00:00",1858.04,2,13.257,123.685,NA
1860,4,"1860-4-15 00:00:00",1860.29,2,-8.108,112.92,NA
1860,8,"1860-8-15 00:00:00",1860.62,2,14.473,-90.88,NA
1861,5,"1861-5-15 00:00:00",1861.38,3,13.58,41.808,106
1861,5,"1861-5-15 00:00:00",1861.38,2,64.42,-17.33,NA
1861,12,"1861-12-15 00:00:00",1861.96,4,0.32,127.4,326
1864,1,"1864-1-15 00:00:00",1864.04,2,-7.93,112.308,54
1866,2,"1866-2-15 00:00:00",1866.12,2,36.404,25.396,1
1866,9,"1866-9-15 00:00:00",1866.71,2,-14.175,-169.618,NA
1867,10,"1867-10-15 00:00:00",1867.79,2,38.15,140.45,3
1868,4,"1868-4-15 00:00:00",1868.29,2,19.475,-155.608,NA
1869,7,"1869-7-15 00:00:00",1869.54,2,-8.53,122.775,2
1869,8,"1869-8-15 00:00:00",1869.62,2,-8,113.342,8
1870,NA,"1870-07-01 00:00:00",1870.5,3,-8.54,123.59,NA
1870,NA,"1870-07-01 00:00:00",1870.5,2,-15.4,167.83,NA
1870,8,"1870-8-15 00:00:00",1870.62,2,2.28,125.425,NA
1871,3,"1871-3-15 00:00:00",1871.21,2,2.28,125.425,NA
1871,4,"1871-4-15 00:00:00",1871.29,2,9.203,124.673,NA
1871,8,"1871-8-15 00:00:00",1871.62,2,0.8,127.325,1
1871,12,"1871-12-15 00:00:00",1871.96,3,13.257,123.685,3
1872,4,"1872-4-15 00:00:00",1872.29,4,-7.542,110.442,30
1872,4,"1872-4-15 00:00:00",1872.29,4,-7.542,110.442,170
1872,4,"1872-4-15 00:00:00",1872.29,3,40.821,14.426,9
1872,NA,"1872-07-01 00:00:00",1872.5,4,48.875,154.175,NA
1872,11,"1872-11-15 00:00:00",1872.88,4,-7.542,110.442,200
1872,12,"1872-12-15 00:00:00",1872.96,3,32.88,131.1,4
1873,1,"1873-1-15 00:00:00",1873.04,2,7.67,124.5,NA
1874,7,"1874-7-15 00:00:00",1874.54,3,34.08,139.53,1
1874,7,"1874-7-15 00:00:00",1874.54,2,14.002,120.993,NA
1875,3,"1875-3-15 00:00:00",1875.21,5,65.03,-16.75,NA
1877,6,"1877-6-15 00:00:00",1877.46,4,-0.677,-78.436,340
1878,1,"1878-1-15 00:00:00",1878.04,3,-19.52,169.425,NA
1878,1,"1878-1-15 00:00:00",1878.04,3,-4.271,152.203,1
1878,8,"1878-8-15 00:00:00",1878.62,2,53.42,-168.13,NA
1879,2,"1879-2-15 00:00:00",1879.12,2,38.789,15.213,NA
1883,3,"1883-3-15 00:00:00",1883.21,2,-11.75,43.38,NA
1883,8,"1883-8-15 00:00:00",1883.62,6,-6.102,105.423,2000
1883,10,"1883-10-15 00:00:00",1883.79,4,59.37,-153.42,8
1883,12,"1883-12-15 00:00:00",1883.96,3,-6.14,155.195,NA
1885,4,"1885-4-15 00:00:00",1885.29,2,-8.108,112.92,74
1885,5,"1885-5-15 00:00:00",1885.38,3,2.32,-76.4,NA
1886,1,"1886-1-15 00:00:00",1886.04,4,-1.467,-78.442,2
1886,6,"1886-6-15 00:00:00",1886.46,2,-38.12,176.5,153
1886,8,"1886-8-15 00:00:00",1886.62,4,-15.6,-175.63,NA
1887,3,"1887-3-15 00:00:00",1887.21,3,13.257,123.685,15
1888,3,"1888-3-15 00:00:00",1888.21,3,-5.52,148.121,NA
